2025-03-22 22:21:28,713 - Episode 93/1000 | Total Reward: -346991.36 | Explore: 0 | Exploit: 59 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.53s
2025-03-22 22:21:32,813 - Episode 94/1000 | Total Reward: -210383.59 | Explore: 2 | Exploit: 55 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.09s
2025-03-22 22:21:36,511 - Episode 95/1000 | Total Reward: -125896.04 | Explore: 2 | Exploit: 54 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.70s
2025-03-22 22:21:40,389 - Episode 96/1000 | Total Reward: -157522.25 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.88s
2025-03-22 22:21:45,768 - Episode 97/1000 | Total Reward: -131714.56 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.38s
2025-03-22 22:21:49,753 - Episode 98/1000 | Total Reward: -116356.24 | Explore: 0 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.99s
2025-03-22 22:21:55,326 - Episode 99/1000 | Total Reward: -369004.41 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.57s
2025-03-22 22:22:00,085 - Episode 100/1000 | Total Reward: -303222.51 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.74s
2025-03-22 22:22:05,342 - Episode 101/1000 | Total Reward: -392911.64 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.26s
2025-03-22 22:22:10,227 - Episode 102/1000 | Total Reward: -149975.38 | Explore: 2 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.88s
2025-03-22 22:22:13,581 - Episode 103/1000 | Total Reward: -107395.13 | Explore: 2 | Exploit: 54 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.35s
2025-03-22 22:22:17,565 - Episode 104/1000 | Total Reward: -165946.74 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.98s
2025-03-22 22:22:23,233 - Episode 105/1000 | Total Reward: -429776.55 | Explore: 0 | Exploit: 59 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.67s
2025-03-22 22:22:27,781 - Episode 106/1000 | Total Reward: -253616.00 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.55s
2025-03-22 22:22:32,031 - Episode 107/1000 | Total Reward: -127035.61 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.25s
2025-03-22 22:22:36,078 - Episode 108/1000 | Total Reward: -154156.58 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.05s
2025-03-22 22:22:41,562 - Episode 109/1000 | Total Reward: -130678.67 | Explore: 2 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.48s
2025-03-22 22:22:46,116 - Episode 110/1000 | Total Reward: -139018.86 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.55s
2025-03-22 22:22:49,350 - Episode 111/1000 | Total Reward: -7486.83 | Explore: 2 | Exploit: 53 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.23s
2025-03-22 22:22:53,994 - Episode 112/1000 | Total Reward: -292210.65 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.64s
