2025-05-04 12:00:16,587 - INFO - Loaded existing model.
2025-05-04 12:03:34,176 - INFO - Episode 51/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0087, Epsilon: 0.881, Explore: 171, Exploit: 24 ,action: 7
2025-05-04 12:03:38,142 - INFO - Episode 52/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0105, Epsilon: 0.881, Explore: 171, Exploit: 22 ,action: 8
2025-05-04 12:03:42,200 - INFO - Episode 53/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0098, Epsilon: 0.881, Explore: 173, Exploit: 26 ,action: 2
2025-05-04 12:03:46,137 - INFO - Episode 54/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0111, Epsilon: 0.881, Explore: 158, Exploit: 27 ,action: 8
2025-05-04 12:03:49,957 - INFO - Episode 55/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0100, Epsilon: 0.881, Explore: 149, Exploit: 31 ,action: 8
2025-05-04 12:03:54,005 - INFO - Episode 56/3000, Difficulty: 0.00, Reward: -0.9, Loss: 0.0102, Epsilon: 0.880, Explore: 170, Exploit: 17 ,action: 11
2025-05-04 12:03:57,900 - INFO - Episode 57/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0104, Epsilon: 0.880, Explore: 169, Exploit: 20 ,action: 3
2025-05-04 12:04:01,952 - INFO - Episode 58/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0119, Epsilon: 0.880, Explore: 172, Exploit: 21 ,action: 6
2025-05-04 12:04:05,818 - INFO - Episode 59/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0125, Epsilon: 0.880, Explore: 158, Exploit: 23 ,action: 8
2025-05-04 12:04:09,743 - INFO - Episode 60/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0117, Epsilon: 0.880, Explore: 169, Exploit: 21 ,action: 11
2025-05-04 12:04:13,889 - INFO - Episode 61/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0107, Epsilon: 0.879, Explore: 174, Exploit: 19 ,action: 10
2025-05-04 12:04:17,824 - INFO - Episode 62/3000, Difficulty: 0.00, Reward: -1.2, Loss: 0.0120, Epsilon: 0.879, Explore: 162, Exploit: 20 ,action: 8
2025-05-04 12:04:21,777 - INFO - Episode 63/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0127, Epsilon: 0.879, Explore: 164, Exploit: 23 ,action: 11
2025-05-04 12:04:25,878 - INFO - Episode 64/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0125, Epsilon: 0.879, Explore: 171, Exploit: 20 ,action: 8
2025-05-04 12:04:29,772 - INFO - Episode 65/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0125, Epsilon: 0.879, Explore: 157, Exploit: 24 ,action: 9
2025-05-04 12:04:33,754 - INFO - Episode 66/3000, Difficulty: 0.00, Reward: -0.8, Loss: 0.0120, Epsilon: 0.878, Explore: 165, Exploit: 20 ,action: 11
2025-05-04 12:04:37,731 - INFO - Episode 67/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0135, Epsilon: 0.878, Explore: 168, Exploit: 20 ,action: 5
2025-05-04 12:04:41,685 - INFO - Episode 68/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0125, Epsilon: 0.878, Explore: 154, Exploit: 26 ,action: 10
2025-05-04 12:04:45,659 - INFO - Episode 69/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0135, Epsilon: 0.878, Explore: 164, Exploit: 22 ,action: 11
2025-05-04 12:04:49,707 - INFO - Episode 70/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0127, Epsilon: 0.878, Explore: 152, Exploit: 32 ,action: 5
2025-05-04 12:04:53,786 - INFO - Episode 71/3000, Difficulty: 0.00, Reward: -0.8, Loss: 0.0145, Epsilon: 0.877, Explore: 165, Exploit: 19 ,action: 11
2025-05-04 12:04:57,718 - INFO - Episode 72/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0135, Epsilon: 0.877, Explore: 150, Exploit: 27 ,action: 2
2025-05-04 12:05:01,727 - INFO - Episode 73/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0151, Epsilon: 0.877, Explore: 156, Exploit: 29 ,action: 8
2025-05-04 12:05:05,798 - INFO - Episode 74/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0143, Epsilon: 0.877, Explore: 169, Exploit: 18 ,action: 9
2025-05-04 12:05:09,824 - INFO - Episode 75/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0141, Epsilon: 0.877, Explore: 162, Exploit: 25 ,action: 11
2025-05-04 12:05:13,981 - INFO - Episode 76/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0145, Epsilon: 0.876, Explore: 170, Exploit: 21 ,action: 2
2025-05-04 12:05:18,122 - INFO - Episode 77/3000, Difficulty: 0.00, Reward: -0.9, Loss: 0.0149, Epsilon: 0.876, Explore: 159, Exploit: 27 ,action: 5
2025-05-04 12:05:22,194 - INFO - Episode 78/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0154, Epsilon: 0.876, Explore: 156, Exploit: 23 ,action: 5
