episode,episode_rewards,waiting_times,queue_lengths,explore_counts,exploit_counts,epsilon_values,curriculum_difficulties,vehicle_counts,losses
114,204.75999999999996,1538.1290322580646,10.403225806451612,181,5,0.9783298900004704,0.0011725436179981633,32,4.500801591623214
115,188.57999999999998,1387.890052356021,10.109947643979057,186,5,0.9781408000004745,0.001193388429752066,13,4.584774086378632
116,223.0300000000001,1207.960591133005,10.458128078817735,195,8,0.9779398300004789,0.0012144168962350782,6,5.248917960327835
117,219.45999999999987,1268.6019900497513,10.383084577114428,196,5,0.9777408400004832,0.001235629017447199,18,4.921174718521128
118,174.85999999999993,3131.812865497076,13.842105263157896,168,3,0.9775715500004869,0.0012570247933884296,18,5.131894906884746
119,206.21000000000004,1307.1666666666667,9.489247311827956,180,6,0.9773874100004909,0.0012786042240587696,21,5.379590542406164
120,233.55999999999995,1658.5265700483092,10.028985507246377,205,2,0.9771824800004953,0.0013003673094582188,14,5.4519379504636865
121,228.47999999999996,2123.5641025641025,13.353846153846154,194,1,0.9769894300004995,0.0013223140495867767,28,5.54548176534665
122,241.65999999999994,1532.44776119403,10.253731343283581,196,5,0.9767904400005039,0.0013444444444444445,26,5.8718416103676185
123,205.28999999999996,1370.548717948718,9.815384615384616,190,5,0.976597390000508,0.0013667584940312216,10,5.560129962594081
124,241.79999999999987,1690.0094339622642,11.047169811320755,206,6,0.9763875100005126,0.0013892561983471071,2,5.871032676606808
125,213.83999999999992,1045.1534653465346,8.470297029702971,199,3,0.976187530000517,0.0014119375573921028,14,5.696010329493202
126,201.51999999999992,1991.1538461538462,12.523076923076923,188,7,0.9759944800005211,0.0014348025711662076,14,6.15006408232909
127,199.1499999999999,2674.020942408377,13.25130890052356,190,1,0.9758053900005252,0.0014578512396694217,8,6.122757859255007
128,234.70999999999995,1388.4809523809524,10.476190476190476,204,6,0.9755974900005298,0.0014810835629017445,17,5.820669353859765
129,253.19000000000005,891.6093023255814,8.544186046511628,206,9,0.9753846400005344,0.0015044995408631772,20,6.877207016944885
130,218.77999999999997,1301.2079207920792,9.316831683168317,197,5,0.9751846600005387,0.0015280991735537191,8,6.037487237022654
131,204.22000000000008,909.9476439790576,8.518324607329843,191,0,0.9749955700005428,0.0015518824609733698,19,5.921777498191564
132,200.43999999999994,1437.1550802139038,10.288770053475936,183,4,0.9748104400005468,0.0015758494031221303,8,6.8250796944699825
133,212.89000000000007,2468.688524590164,13.907103825136613,181,2,0.9746292700005508,0.0016,9,6.421600154514521
134,204.61000000000013,1955.3617021276596,11.340425531914894,187,1,0.9744431500005548,0.001624334251606979,18,6.123304579010669
135,209.84,2012.842105263158,12.294736842105262,184,6,0.9742550500005589,0.001648852157943067,17,6.594919594887056
136,184.92000000000004,1940.292817679558,12.182320441988951,180,1,0.9740758600005628,0.0016735537190082645,8,6.2066105037762975
137,193.93,1645.125,10.66304347826087,180,4,0.9738937000005667,0.0016984389348025713,13,6.617241904625426
138,220.48000000000016,991.6698113207547,9.410377358490566,202,10,0.9736838200005713,0.0017235078053259869,11,6.719201353361022
139,198.54999999999998,2760.5549738219897,14.481675392670157,186,5,0.9734947300005754,0.0017487603305785123,17,7.824967123138967
140,210.89999999999998,1891.544502617801,12.366492146596858,185,6,0.9733056400005795,0.001774196510560147,13,7.200772206040577
141,224.29000000000005,1400.1133004926107,9.866995073891626,199,4,0.9731046700005839,0.001799816345270891,21,7.0665320711476465
142,191.25999999999996,2098.983333333333,11.65,176,4,0.9729264700005877,0.0018256198347107436,7,7.2302643522620205
143,203.05000000000004,1744.5128205128206,10.528205128205128,192,3,0.9727334200005919,0.001851606978879706,15,6.911069696988815
144,231.07999999999998,920.185,8.055,197,3,0.9725354200005962,0.001877777777777778,12,7.367585618644953
145,223.41,1435.8071065989848,10.030456852791879,194,3,0.9723403900006005,0.001904132231404959,21,7.0978467468985444
146,217.28999999999988,1793.784946236559,11.709677419354838,180,6,0.9721562500006045,0.0019306703397612486,27,7.6278332193051614
147,200.41000000000005,1741.0588235294117,11.074866310160427,181,6,0.9719711200006085,0.0019573921028466484,6,8.491276256381509
148,183.0000000000001,2720.9842105263156,13.773684210526316,184,6,0.9717830200006126,0.0019842975206611573,15,7.4657412576048
149,226.70999999999998,1565.209756097561,9.863414634146341,201,4,0.971580070000617,0.002011386593204775,29,8.096448098159417
150,199.03,2699.47311827957,13.161290322580646,183,3,0.971395930000621,0.002038659320477502,22,7.846041601191285
151,211.93000000000012,1515.8955223880596,10.512437810945274,200,1,0.9711969400006253,0.002066115702479339,17,8.368031374109325
152,226.82000000000008,1102.6341463414635,9.092682926829267,193,12,0.9709939900006297,0.002093755739210285,7,8.002288791319218
153,184.3,1536.0,10.945652173913043,179,5,0.9708118300006336,0.0021215794306703394,9,8.091541983835075
154,229.11,1447.148514851485,11.207920792079207,194,8,0.970611850000638,0.002149586776859504,10,9.48300058062714
155,227.23999999999984,1291.2537313432836,10.45273631840796,197,4,0.9704128600006423,0.002177777777777778,11,7.675664526906179
156,188.76000000000008,1640.920634920635,10.825396825396826,185,4,0.9702257500006464,0.0022061524334251606,11,9.108949212800889
157,203.14999999999998,1837.0748663101604,11.79144385026738,184,3,0.9700406200006504,0.0022347107438016526,11,7.802239042233656
158,182.0300000000001,1663.7158469945355,11.333333333333334,177,6,0.9698594500006543,0.0022634527089072545,10,8.725174643221449
159,204.22000000000006,1386.3435897435897,10.892307692307693,194,1,0.9696664000006585,0.0022923783287419654,16,8.546092386123462
160,197.6100000000001,1755.8031914893618,11.99468085106383,185,3,0.9694802800006626,0.002321487603305785,14,9.846973469282718
161,184.01999999999995,4608.099415204679,18.549707602339183,165,6,0.9693109900006662,0.0023507805325987145,9,8.537246061521664
162,204.56999999999994,1813.0797872340424,12.77127659574468,179,9,0.9691248700006703,0.002380257116620753,39,8.920198452916551
163,181.45999999999992,3252.832402234637,17.374301675977655,176,3,0.9689476600006741,0.0024099173553719004,9,9.326535655216798
