queue_ns,queue_ew,queue_sn,queue_ws
4.587,2.1,5.32,465.192
7.815,2.7,5.5,505.612
11.883,3.6,5.7,547.75
17.492,4.0,6.02,591.625
20.698,4.6,6.08,615.837
27.702,5.2,6.36,662.545
32.273,5.5,6.52,690.997
37.603,5.7,6.7,723.047
40.738,6.0,6.78,741.59
45.16,6.4,6.86,767.193
48.058,6.6,6.88,783.242
52.413,6.8,7.06,806.515
58.313,7.1,7.18,837.367
63.168,7.3,7.3,862.152
71.835,7.6,7.48,905.828
78.01,7.7,7.68,936.847
83.422,8.0,7.78,963.833
89.672,8.7,7.88,994.51
96.012,8.9,8.1,1024.435
103.585,9.1,8.26,1059.202
0.0,1.9,8.5,1117.988
0.855,2.1,8.56,1147.188
0.0,0.9,8.6,1162.22
0.923,1.2,8.76,1209.29
2.248,1.8,8.86,1254.882
3.638,2.2,8.98,1291.225
5.108,2.3,9.0,1323.468
8.558,2.3,9.0,1390.968
12.008,2.3,9.0,1458.468
15.458,2.3,9.0,1525.968
18.908,2.3,9.0,1593.468
0.0,0.1,9.0,1615.968
0.152,0.1,9.0,1687.218
0.302,0.1,9.0,1754.718
0.452,0.1,9.0,1822.218
0.602,0.1,9.0,1889.718
0.752,0.1,9.0,1957.218
0.902,0.1,9.0,2024.718
1.052,0.1,9.0,2092.218
1.202,0.1,9.0,2159.718
0.0,0.0,9.0,2167.218
0.0,0.0,9.0,2238.468
0.0,0.0,9.0,2305.968
0.0,0.0,9.0,2373.468
0.0,0.0,9.0,2440.968
0.0,0.0,9.0,2508.468
0.0,0.0,9.0,2575.968
0.0,0.0,9.0,2643.468
0.0,0.0,9.0,2710.968
0.0,0.0,9.0,2778.468
0.0,0.0,9.0,2845.968
0.0,0.0,9.0,2913.468
0.0,0.0,9.0,2980.968
0.0,0.0,9.0,3048.468
0.0,0.0,9.0,3115.968
0.0,0.0,9.0,3183.468
0.0,0.0,9.0,3250.968
0.0,0.0,9.0,3318.468
0.0,0.0,9.0,3385.968
0.0,0.0,9.0,3453.468
0.0,0.0,9.0,3520.968
0.0,0.0,9.0,3588.468
0.0,0.0,9.0,3655.968
0.0,0.0,9.0,3727.218
0.0,0.0,9.0,3794.718
0.0,0.0,9.0,3865.968
0.0,0.0,9.0,3937.218
0.0,0.0,0.0,0.0
0.032,0.5,0.08,0.127
0.842,1.3,0.34,1.883
2.845,1.5,0.52,5.122
4.205,1.7,0.64,7.818
6.13,1.9,0.76,11.73
9.355,3.2,1.06,18.63
14.078,3.9,1.28,27.558
0.0,0.5,1.32,31.992
0.368,0.7,1.46,37.742
0.0,0.0,1.48,39.828
0.0,0.1,1.64,51.455
0.0,0.0,1.66,52.283
0.0,0.1,1.72,55.988
0.233,0.8,1.98,69.857
