2025-03-18 00:02:36,925 - Episode 112: Reward=558.8000000000001, Explores=5, Exploits=528, Epsilon=0.0100
2025-03-18 00:02:40,576 - Episode 113: Reward=563.5500000000002, Explores=5, Exploits=523, Epsilon=0.0100
2025-03-18 00:02:44,361 - Episode 114: Reward=594.8000000000001, Explores=6, Exploits=531, Epsilon=0.0100
2025-03-18 00:02:48,163 - Episode 115: Reward=568.15, Explores=2, Exploits=528, Epsilon=0.0100
2025-03-18 00:02:51,795 - Episode 116: Reward=593.1000000000007, Explores=9, Exploits=533, Epsilon=0.0100
2025-03-18 00:02:55,649 - Episode 117: Reward=577.0499999999996, Explores=9, Exploits=525, Epsilon=0.0100
2025-03-18 00:02:59,803 - Episode 118: Reward=611.3000000000009, Explores=7, Exploits=546, Epsilon=0.0100
2025-03-18 00:03:04,535 - Episode 119: Reward=592.4500000000004, Explores=1, Exploits=536, Epsilon=0.0100
2025-03-18 00:03:07,782 - Episode 120: Reward=610.4499999999996, Explores=5, Exploits=535, Epsilon=0.0100
2025-03-18 00:03:10,560 - Episode 121: Reward=571.3000000000004, Explores=4, Exploits=523, Epsilon=0.0100
2025-03-18 00:03:13,374 - Episode 122: Reward=564.5499999999998, Explores=6, Exploits=512, Epsilon=0.0100
2025-03-18 00:03:17,051 - Episode 123: Reward=569.7999999999998, Explores=5, Exploits=529, Epsilon=0.0100
2025-03-18 00:03:21,105 - Episode 124: Reward=598.7999999999994, Explores=9, Exploits=518, Epsilon=0.0100
2025-03-18 00:03:26,484 - Episode 125: Reward=580.0500000000001, Explores=8, Exploits=524, Epsilon=0.0100
2025-03-18 00:03:30,986 - Episode 126: Reward=574.5499999999998, Explores=6, Exploits=528, Epsilon=0.0100
2025-03-18 00:03:35,890 - Episode 127: Reward=-90873.40000000001, Explores=5, Exploits=569, Epsilon=0.0100
2025-03-18 00:03:40,070 - Episode 128: Reward=615.0500000000002, Explores=5, Exploits=539, Epsilon=0.0100
2025-03-18 00:03:43,634 - Episode 129: Reward=539.2, Explores=5, Exploits=518, Epsilon=0.0100
2025-03-18 00:03:47,670 - Episode 130: Reward=546.8999999999999, Explores=3, Exploits=523, Epsilon=0.0100
2025-03-18 00:03:51,734 - Episode 131: Reward=622.1500000000001, Explores=4, Exploits=526, Epsilon=0.0100
2025-03-18 00:03:55,849 - Episode 132: Reward=590.65, Explores=8, Exploits=528, Epsilon=0.0100
2025-03-18 00:04:00,266 - Episode 133: Reward=552.3, Explores=7, Exploits=522, Epsilon=0.0100
2025-03-18 00:04:04,350 - Episode 134: Reward=562.6000000000004, Explores=6, Exploits=517, Epsilon=0.0100
2025-03-18 00:04:07,856 - Episode 135: Reward=569.0499999999998, Explores=9, Exploits=524, Epsilon=0.0100
2025-03-18 00:04:11,532 - Episode 136: Reward=609.5999999999998, Explores=6, Exploits=527, Epsilon=0.0100
2025-03-18 00:04:15,081 - Episode 137: Reward=590.8000000000003, Explores=3, Exploits=519, Epsilon=0.0100
2025-03-18 00:04:18,564 - Episode 138: Reward=585.3499999999995, Explores=4, Exploits=528, Epsilon=0.0100
2025-03-18 00:04:21,813 - Episode 139: Reward=577.35, Explores=2, Exploits=534, Epsilon=0.0100
2025-03-18 00:04:26,251 - Episode 140: Reward=582.4499999999996, Explores=4, Exploits=540, Epsilon=0.0100
2025-03-18 00:04:31,055 - Episode 141: Reward=-8870.649999999978, Explores=6, Exploits=536, Epsilon=0.0100
2025-03-18 00:04:35,931 - Episode 142: Reward=604.3000000000001, Explores=7, Exploits=529, Epsilon=0.0100
2025-03-18 00:04:40,839 - Episode 143: Reward=533.750000000001, Explores=5, Exploits=524, Epsilon=0.0100
2025-03-18 00:04:45,809 - Episode 144: Reward=622.9, Explores=7, Exploits=530, Epsilon=0.0100
2025-03-18 00:04:50,984 - Episode 145: Reward=576.6999999999997, Explores=5, Exploits=529, Epsilon=0.0100
2025-03-18 00:04:55,999 - Episode 146: Reward=606.4499999999996, Explores=5, Exploits=526, Epsilon=0.0100
2025-03-18 00:05:00,122 - Episode 147: Reward=578.4499999999996, Explores=10, Exploits=500, Epsilon=0.0100
2025-03-18 00:05:03,975 - Episode 148: Reward=555.5000000000002, Explores=6, Exploits=521, Epsilon=0.0100
