2025-04-09 21:34:50,736 - INFO - No saved model found, training from scratch.
2025-04-09 21:38:51,888 - INFO - Episode 72/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0007, Epsilon: 0.983, Explore: 209, Exploit: 6
2025-04-09 21:38:55,701 - INFO - Episode 73/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0006, Epsilon: 0.983, Explore: 211, Exploit: 2
2025-04-09 21:38:59,354 - INFO - Episode 74/3000, Difficulty: 0.00, Reward: -1.7, Loss: 0.0005, Epsilon: 0.983, Explore: 208, Exploit: 5
2025-04-09 21:39:03,056 - INFO - Episode 75/3000, Difficulty: 0.00, Reward: -1.9, Loss: 0.0007, Epsilon: 0.983, Explore: 209, Exploit: 5
2025-04-09 21:39:06,707 - INFO - Episode 76/3000, Difficulty: 0.00, Reward: -1.2, Loss: 0.0007, Epsilon: 0.982, Explore: 211, Exploit: 2
2025-04-09 21:39:10,384 - INFO - Episode 77/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0006, Epsilon: 0.982, Explore: 210, Exploit: 4
2025-04-09 21:39:14,055 - INFO - Episode 78/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0006, Epsilon: 0.982, Explore: 212, Exploit: 2
2025-04-09 21:39:17,689 - INFO - Episode 79/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0006, Epsilon: 0.982, Explore: 210, Exploit: 2
2025-04-09 21:39:21,334 - INFO - Episode 80/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0012, Epsilon: 0.981, Explore: 211, Exploit: 3
2025-04-09 21:39:24,950 - INFO - Episode 81/3000, Difficulty: 0.00, Reward: -0.6, Loss: 0.0007, Epsilon: 0.981, Explore: 207, Exploit: 6
2025-04-09 21:39:28,643 - INFO - Episode 82/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0006, Epsilon: 0.981, Explore: 209, Exploit: 5
2025-04-09 21:39:32,358 - INFO - Episode 83/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0006, Epsilon: 0.981, Explore: 211, Exploit: 4
2025-04-09 21:39:36,039 - INFO - Episode 84/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0006, Epsilon: 0.980, Explore: 210, Exploit: 3
2025-04-09 21:39:39,686 - INFO - Episode 85/3000, Difficulty: 0.00, Reward: -0.6, Loss: 0.0007, Epsilon: 0.980, Explore: 208, Exploit: 5
2025-04-09 21:39:43,387 - INFO - Episode 86/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0007, Epsilon: 0.980, Explore: 208, Exploit: 6
2025-04-09 21:39:47,164 - INFO - Episode 87/3000, Difficulty: 0.00, Reward: -2.0, Loss: 0.0007, Epsilon: 0.980, Explore: 211, Exploit: 3
2025-04-09 21:39:50,839 - INFO - Episode 88/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0007, Epsilon: 0.979, Explore: 208, Exploit: 5
2025-04-09 21:39:54,590 - INFO - Episode 89/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0007, Epsilon: 0.979, Explore: 215, Exploit: 1
2025-04-09 21:39:58,341 - INFO - Episode 90/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0006, Epsilon: 0.979, Explore: 203, Exploit: 10
2025-04-09 21:40:02,136 - INFO - Episode 91/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0007, Epsilon: 0.979, Explore: 207, Exploit: 7
2025-04-09 21:40:05,986 - INFO - Episode 92/3000, Difficulty: 0.00, Reward: -0.6, Loss: 0.0007, Epsilon: 0.979, Explore: 205, Exploit: 8
2025-04-09 21:40:09,782 - INFO - Episode 93/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0006, Epsilon: 0.978, Explore: 205, Exploit: 8
2025-04-09 21:40:13,550 - INFO - Episode 94/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0007, Epsilon: 0.978, Explore: 210, Exploit: 5
2025-04-09 21:40:17,310 - INFO - Episode 95/3000, Difficulty: 0.00, Reward: -0.9, Loss: 0.0006, Epsilon: 0.978, Explore: 206, Exploit: 7
2025-04-09 21:40:21,201 - INFO - Episode 96/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0006, Epsilon: 0.978, Explore: 207, Exploit: 6
2025-04-09 21:40:25,046 - INFO - Episode 97/3000, Difficulty: 0.00, Reward: -1.0, Loss: 0.0008, Epsilon: 0.977, Explore: 211, Exploit: 3
2025-04-09 21:40:29,167 - INFO - Episode 98/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0007, Epsilon: 0.977, Explore: 206, Exploit: 8
2025-04-09 21:40:33,047 - INFO - Episode 99/3000, Difficulty: 0.00, Reward: -0.9, Loss: 0.0007, Epsilon: 0.977, Explore: 209, Exploit: 5
2025-04-09 21:40:36,916 - INFO - Episode 100/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0007, Epsilon: 0.977, Explore: 213, Exploit: 2
2025-04-09 21:40:36,919 - INFO - Model saved at episode 100
2025-04-09 21:40:41,055 - INFO - Episode 101/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0006, Epsilon: 0.976, Explore: 207, Exploit: 8
2025-04-09 21:40:45,095 - INFO - Episode 102/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0006, Epsilon: 0.976, Explore: 211, Exploit: 3
2025-04-09 21:40:49,205 - INFO - Episode 103/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0006, Epsilon: 0.976, Explore: 205, Exploit: 8
2025-04-09 21:40:53,415 - INFO - Episode 104/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0007, Epsilon: 0.976, Explore: 213, Exploit: 1
2025-04-09 21:40:57,570 - INFO - Episode 105/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0007, Epsilon: 0.975, Explore: 209, Exploit: 3
2025-04-09 21:41:01,902 - INFO - Episode 106/3000, Difficulty: 0.00, Reward: -0.6, Loss: 0.0006, Epsilon: 0.975, Explore: 209, Exploit: 3
2025-04-09 21:41:06,275 - INFO - Episode 107/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0006, Epsilon: 0.975, Explore: 212, Exploit: 2
2025-04-09 21:41:10,756 - INFO - Episode 108/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0007, Epsilon: 0.975, Explore: 208, Exploit: 8
2025-04-09 21:41:15,105 - INFO - Episode 109/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0007, Epsilon: 0.975, Explore: 203, Exploit: 10
2025-04-09 21:41:19,533 - INFO - Episode 110/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0006, Epsilon: 0.974, Explore: 206, Exploit: 6
2025-04-09 21:41:23,540 - INFO - Episode 111/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0009, Epsilon: 0.974, Explore: 211, Exploit: 3
2025-04-09 21:41:27,562 - INFO - Episode 112/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0008, Epsilon: 0.974, Explore: 208, Exploit: 6
2025-04-09 21:41:31,581 - INFO - Episode 113/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0007, Epsilon: 0.974, Explore: 209, Exploit: 4
2025-04-09 21:41:35,665 - INFO - Episode 114/3000, Difficulty: 0.00, Reward: -1.0, Loss: 0.0008, Epsilon: 0.973, Explore: 206, Exploit: 8
2025-04-09 21:41:39,715 - INFO - Episode 115/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0007, Epsilon: 0.973, Explore: 210, Exploit: 4
